Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-09-21,243.3800048828125,244.4199981689453,238.2899932861328,240.97000122070312,239.80686950683594,2848900,AMT,10.0,0.0,0.0039162109375,
2020-09-22,241.99000549316406,244.85000610351562,240.1999969482422,241.94000244140625,240.77220153808594,1702200,AMT,10.0,0.0,0.0039162109375,
2020-09-23,242.22999572753906,242.22999572753906,235.07000732421875,235.7100067138672,234.572265625,2550300,AMT,10.0,0.0,0.0039162109375,
2020-09-24,236.3000030517578,240.1300048828125,235.10000610351562,236.17999267578125,235.0399932861328,2246600,AMT,10.0,0.0,0.0039162109375,
2020-09-25,235.0,240.6699981689453,234.97000122070312,239.80999755859375,239.80999755859375,2861500,AMT,10.0,0.0,0.0039162109375,
2020-09-28,243.07000732421875,244.4199981689453,238.41000366210938,240.0,240.0,2593500,AMT,10.0,0.0,0.0039162109375,
2020-09-29,241.2100067138672,242.0,239.1199951171875,240.1199951171875,240.1199951171875,3098400,AMT,10.0,0.0,0.0039162109375,
2020-09-30,241.92999267578125,243.5800018310547,239.69000244140625,241.72999572753906,241.72999572753906,3345600,AMT,10.0,0.0,0.0039162109375,
2020-10-01,242.19000244140625,245.0,239.9499969482422,242.14999389648438,242.14999389648438,2500800,AMT,10.0,0.0,0.0039162109375,
2020-10-02,240.07000732421875,243.91000366210938,238.99000549316406,243.3000030517578,243.3000030517578,2138100,AMT,10.0,0.0,0.0039162109375,
2020-10-05,243.25,243.63999938964844,237.88999938964844,243.3300018310547,243.3300018310547,2130300,AMT,10.0,0.0,0.0039162109375,
2020-10-06,243.91000366210938,244.41000366210938,240.16000366210938,241.00999450683594,241.00999450683594,1913500,AMT,10.0,0.0,0.0039162109375,
2020-10-07,241.19000244140625,243.50999450683594,241.19000244140625,241.77000427246094,241.77000427246094,2048000,AMT,10.0,0.0,0.0039162109375,
2020-10-08,243.75999450683594,246.5399932861328,242.86000061035156,243.55999755859375,243.55999755859375,2501100,AMT,10.0,0.0,0.0039162109375,
2020-10-09,244.27000427246094,246.38999938964844,243.14999389648438,244.67999267578125,244.67999267578125,1538700,AMT,10.0,0.0,0.0039162109375,
2020-10-12,245.25,247.77999877929688,244.3300018310547,246.3800048828125,246.3800048828125,1430400,AMT,10.0,0.0,0.0039162109375,
2020-10-13,245.14999389648438,246.5500030517578,241.4199981689453,242.41000366210938,242.41000366210938,1622100,AMT,10.0,0.0,0.0039162109375,
2020-10-14,242.8800048828125,243.27999877929688,238.0800018310547,238.5,238.5,2049300,AMT,10.0,0.0,0.0039162109375,
2020-10-15,238.5500030517578,242.14999389648438,237.5,239.60000610351562,239.60000610351562,1790900,AMT,10.0,0.0,0.0039162109375,
2020-10-16,239.6999969482422,244.0800018310547,239.16000366210938,242.72000122070312,242.72000122070312,1480000,AMT,10.0,0.0,0.0039162109375,
2020-10-19,243.66000366210938,245.6999969482422,239.16000366210938,239.60000610351562,239.60000610351562,1323600,AMT,10.0,0.0,0.0039162109375,
2020-10-20,241.67999267578125,245.72999572753906,240.6300048828125,243.8000030517578,243.8000030517578,1407300,AMT,10.0,0.0,0.0039162109375,
2020-10-21,243.36000061035156,245.9600067138672,241.30999755859375,241.74000549316406,241.74000549316406,1100500,AMT,10.0,0.0,0.0039162109375,
2020-10-22,241.3300018310547,241.61000061035156,235.13999938964844,235.77000427246094,235.77000427246094,1836600,AMT,10.0,0.0,0.0039162109375,
2020-10-23,236.63999938964844,239.3699951171875,235.66000366210938,237.72000122070312,237.72000122070312,1057200,AMT,10.0,0.0,0.0039162109375,
2020-10-26,235.55999755859375,237.88999938964844,233.39999389648438,237.1199951171875,237.1199951171875,1657600,AMT,10.0,0.0,0.0039162109375,
2020-10-27,238.92999267578125,240.97999572753906,236.02999877929688,236.16000366210938,236.16000366210938,1433200,AMT,10.0,0.0,0.0039162109375,
2020-10-28,233.82000732421875,237.32000732421875,229.25,230.1300048828125,230.1300048828125,2449000,AMT,10.0,0.0,0.0039162109375,
2020-10-29,233.47000122070312,236.3699951171875,230.6699981689453,231.64999389648438,231.64999389648438,1693300,AMT,10.0,0.0,0.0039162109375,
2020-08-03,103.77999877929688,110.86000061035156,103.06500244140625,110.40499877929688,110.40499877929688,4924600,MTCH,5.0,0.0,0.015634843750000002,
2020-08-04,110.19999694824219,110.47000122070312,105.98999786376953,107.56999969482422,107.56999969482422,3174800,MTCH,5.0,0.0,0.015634843750000002,
2020-08-05,119.0,123.0,115.30999755859375,120.70999908447266,120.70999908447266,6658100,MTCH,5.0,0.0,0.015634843750000002,
2020-08-06,117.7300033569336,118.00499725341797,113.87999725341797,113.97000122070312,113.97000122070312,4489600,MTCH,5.0,0.0,0.015634843750000002,
2020-08-07,114.44000244140625,116.25,113.02999877929688,115.87999725341797,115.87999725341797,2266800,MTCH,5.0,0.0,0.015634843750000002,
2020-08-10,117.01000213623047,119.48999786376953,112.69000244140625,115.6500015258789,115.6500015258789,4572400,MTCH,5.0,0.0,0.015634843750000002,
2020-08-11,115.37999725341797,118.38999938964844,114.87000274658203,115.5,115.5,2575300,MTCH,5.0,0.0,0.015634843750000002,
2020-08-12,115.8499984741211,118.0,115.41999816894531,115.91999816894531,115.91999816894531,2197700,MTCH,5.0,0.0,0.015634843750000002,
2020-08-13,118.25,118.25,116.69000244140625,117.44000244140625,117.44000244140625,2065400,MTCH,5.0,0.0,0.015634843750000002,
2020-08-14,118.0,121.44000244140625,117.6500015258789,118.80000305175781,118.80000305175781,2219700,MTCH,5.0,0.0,0.015634843750000002,
2020-08-17,118.80000305175781,119.79000091552734,113.55999755859375,114.1050033569336,114.1050033569336,4508000,MTCH,5.0,0.0,0.015634843750000002,
2020-08-18,114.54000091552734,116.45999908447266,114.0999984741211,115.20999908447266,115.20999908447266,4318500,MTCH,5.0,0.0,0.015634843750000002,
2020-08-19,114.81999969482422,118.46499633789062,113.94000244140625,114.1500015258789,114.1500015258789,4237500,MTCH,5.0,0.0,0.015634843750000002,
2020-08-20,113.98999786376953,115.52999877929688,112.16000366210938,113.08000183105469,113.08000183105469,1695100,MTCH,5.0,0.0,0.015634843750000002,
2020-08-21,113.54000091552734,114.69999694824219,112.40499877929688,112.55000305175781,112.55000305175781,2096400,MTCH,5.0,0.0,0.015634843750000002,
2020-08-24,113.63999938964844,114.96299743652344,111.01000213623047,111.9000015258789,111.9000015258789,1650400,MTCH,5.0,0.0,0.015634843750000002,
2020-08-25,110.77999877929688,112.5199966430664,109.55999755859375,112.27999877929688,112.27999877929688,1808400,MTCH,5.0,0.0,0.015634843750000002,
2020-08-26,113.19999694824219,114.08000183105469,110.94999694824219,112.52999877929688,112.52999877929688,1651600,MTCH,5.0,0.0,0.015634843750000002,
2020-08-27,112.44999694824219,113.2699966430664,111.33999633789062,111.52999877929688,111.52999877929688,2005900,MTCH,5.0,0.0,0.015634843750000002,
2020-08-28,112.18000030517578,113.55999755859375,109.87000274658203,111.5,111.5,1343300,MTCH,5.0,0.0,0.015634843750000002,
2020-08-31,111.48999786376953,112.25,110.44000244140625,111.68000030517578,111.68000030517578,2619500,MTCH,5.0,0.0,0.015634843750000002,
2020-09-01,110.87000274658203,115.25,110.87000274658203,113.41000366210938,113.41000366210938,2799800,MTCH,5.0,0.0,0.015634843750000002,
2020-09-02,114.69999694824219,117.62000274658203,112.87999725341797,117.48999786376953,117.48999786376953,3026700,MTCH,5.0,0.0,0.015634843750000002,
2020-09-03,114.2300033569336,114.81999969482422,108.80999755859375,110.54000091552734,110.54000091552734,2414800,MTCH,5.0,0.0,0.015634843750000002,
2020-09-04,108.51000213623047,110.94999694824219,102.08000183105469,105.94000244140625,105.94000244140625,3004000,MTCH,5.0,0.0,0.015634843750000002,
2020-09-08,102.00499725341797,105.54499816894531,100.25,102.05999755859375,102.05999755859375,3918400,MTCH,5.0,0.0,0.015634843750000002,
2020-09-09,104.48999786376953,106.6709976196289,102.12999725341797,105.55999755859375,105.55999755859375,2711100,MTCH,5.0,0.0,0.015634843750000002,
